week_threshold,prop_yes,n_samples,group
10.0,0.8908450704225352,852,Group1
10.2,0.8908450704225352,852,Group1
10.4,0.8908450704225352,852,Group1
10.6,0.8908450704225352,852,Group1
10.8,0.8908450704225352,852,Group1
11.0,0.8908450704225352,852,Group1
11.2,0.8900836320191159,837,Group1
11.4,0.8896882494004796,834,Group1
11.6,0.8903775883069428,821,Group1
11.8,0.8903940886699507,812,Group1
12.0,0.8916562889165629,803,Group1
12.2,0.8937823834196891,772,Group1
12.4,0.896505376344086,744,Group1
12.6,0.8965034965034965,715,Group1
12.8,0.8979885057471264,696,Group1
13.0,0.9004392386530015,683,Group1
13.2,0.8984375,640,Group1
13.4,0.9017713365539453,621,Group1
13.6,0.8966101694915254,590,Group1
13.8,0.8951048951048951,572,Group1
14.0,0.8954954954954955,555,Group1
14.2,0.8911819887429644,533,Group1
14.4,0.8897338403041825,526,Group1
14.6,0.8846918489065606,503,Group1
14.8,0.8823529411764706,493,Group1
15.0,0.8829568788501027,487,Group1
15.2,0.8784648187633263,469,Group1
15.4,0.8758169934640523,459,Group1
15.6,0.8744292237442922,438,Group1
15.8,0.8717339667458432,421,Group1
16.0,0.8728606356968215,409,Group1
16.2,0.8821917808219178,365,Group1
16.4,0.8808139534883721,344,Group1
16.6,0.8928571428571429,308,Group1
16.8,0.8949152542372881,295,Group1
17.0,0.8989547038327527,287,Group1
17.2,0.9054545454545454,275,Group1
17.4,0.9063670411985019,267,Group1
17.6,0.90625,256,Group1
17.8,0.9051383399209486,253,Group1
18.0,0.904,250,Group1
18.2,0.9036144578313253,249,Group1
18.4,0.9068825910931174,247,Group1
18.6,0.9061224489795918,245,Group1
18.8,0.9053497942386831,243,Group1
19.0,0.9049586776859504,242,Group1
19.2,0.9094827586206896,232,Group1
19.4,0.9151785714285714,224,Group1
19.6,0.919047619047619,210,Group1
19.8,0.9166666666666666,204,Group1
20.0,0.9166666666666666,192,Group1
20.2,0.9254658385093167,161,Group1
20.4,0.9266666666666666,150,Group1
20.6,0.9285714285714286,140,Group1
20.8,0.927007299270073,137,Group1
21.0,0.9318181818181818,132,Group1
21.2,0.9365079365079365,126,Group1
21.4,0.943089430894309,123,Group1
21.6,0.940677966101695,118,Group1
21.8,0.9401709401709402,117,Group1
22.0,0.9391304347826087,115,Group1
22.2,0.9473684210526315,114,Group1
22.4,0.9473684210526315,114,Group1
22.6,0.9473684210526315,114,Group1
22.8,0.9473684210526315,114,Group1
23.0,0.954954954954955,111,Group1
23.2,0.967391304347826,92,Group1
23.4,0.9642857142857143,84,Group1
23.6,0.9558823529411765,68,Group1
23.8,0.9830508474576272,59,Group1
24.0,0.9807692307692307,52,Group1
24.2,0.96875,32,Group1
24.4,1.0,19,Group1
24.6,1.0,16,Group1
24.8,1.0,12,Group1
25.0,1.0,10,Group1
25.2,1.0,10,Group1
25.4,1.0,7,Group1
25.6,1.0,7,Group1
25.8,1.0,7,Group1
26.0,1.0,7,Group1
26.2,1.0,4,Group1
26.4,1.0,4,Group1
26.6,1.0,3,Group1
26.8,1.0,3,Group1
27.0,1.0,3,Group1
27.2,1.0,3,Group1
27.4,1.0,3,Group1
27.6,1.0,3,Group1
27.8,1.0,1,Group1
28.0,1.0,1,Group1
28.2,1.0,1,Group1
28.4,1.0,1,Group1
28.6,1.0,1,Group1
28.8,1.0,1,Group1
29.0,1.0,1,Group1
29.2,,0,Group1
29.4,,0,Group1
29.6,,0,Group1
29.8,,0,Group1
30.0,,0,Group1
10.0,0.8,175,Group2
10.2,0.8,175,Group2
10.4,0.8,175,Group2
10.6,0.8,175,Group2
10.8,0.8,175,Group2
11.0,0.8,175,Group2
11.2,0.7988505747126436,174,Group2
11.4,0.7988505747126436,174,Group2
11.6,0.7965116279069767,172,Group2
11.8,0.7965116279069767,172,Group2
12.0,0.8047337278106509,169,Group2
12.2,0.8048780487804879,164,Group2
12.4,0.8024691358024691,162,Group2
12.6,0.7987421383647799,159,Group2
12.8,0.7974683544303798,158,Group2
13.0,0.7948717948717948,156,Group2
13.2,0.8299319727891157,147,Group2
13.4,0.8275862068965517,145,Group2
13.6,0.8188405797101449,138,Group2
13.8,0.8134328358208955,134,Group2
14.0,0.8134328358208955,134,Group2
14.2,0.8134328358208955,134,Group2
14.4,0.8106060606060606,132,Group2
14.6,0.8076923076923077,130,Group2
14.8,0.8015873015873016,126,Group2
15.0,0.8015873015873016,126,Group2
15.2,0.8,120,Group2
15.4,0.7948717948717948,117,Group2
15.6,0.7876106194690266,113,Group2
15.8,0.7818181818181819,110,Group2
16.0,0.7757009345794392,107,Group2
16.2,0.7777777777777778,99,Group2
16.4,0.8085106382978723,94,Group2
16.6,0.8089887640449438,89,Group2
16.8,0.813953488372093,86,Group2
17.0,0.813953488372093,86,Group2
17.2,0.8072289156626506,83,Group2
17.4,0.8148148148148148,81,Group2
17.6,0.8227848101265823,79,Group2
17.8,0.8205128205128205,78,Group2
18.0,0.8181818181818182,77,Group2
18.2,0.8181818181818182,77,Group2
18.4,0.8157894736842105,76,Group2
18.6,0.8157894736842105,76,Group2
18.8,0.8157894736842105,76,Group2
19.0,0.8157894736842105,76,Group2
19.2,0.8133333333333334,75,Group2
19.4,0.8133333333333334,75,Group2
19.6,0.8194444444444444,72,Group2
19.8,0.8169014084507042,71,Group2
20.0,0.8169014084507042,71,Group2
20.2,0.8412698412698413,63,Group2
20.4,0.864406779661017,59,Group2
20.6,0.8490566037735849,53,Group2
20.8,0.8461538461538461,52,Group2
21.0,0.9148936170212766,47,Group2
21.2,0.9090909090909091,44,Group2
21.4,0.9090909090909091,44,Group2
21.6,0.9069767441860465,43,Group2
21.8,0.9047619047619048,42,Group2
22.0,0.9047619047619048,42,Group2
22.2,0.9047619047619048,42,Group2
22.4,0.9047619047619048,42,Group2
22.6,0.9047619047619048,42,Group2
22.8,0.9024390243902439,41,Group2
23.0,0.9024390243902439,41,Group2
23.2,0.9,40,Group2
23.4,0.8947368421052632,38,Group2
23.6,0.8571428571428571,28,Group2
23.8,0.8461538461538461,26,Group2
24.0,0.7894736842105263,19,Group2
24.2,0.75,16,Group2
24.4,0.7142857142857143,14,Group2
24.6,0.6666666666666666,6,Group2
24.8,1.0,2,Group2
25.0,1.0,1,Group2
25.2,1.0,1,Group2
25.4,1.0,1,Group2
25.6,1.0,1,Group2
25.8,,0,Group2
26.0,,0,Group2
26.2,,0,Group2
26.4,,0,Group2
26.6,,0,Group2
26.8,,0,Group2
27.0,,0,Group2
27.2,,0,Group2
27.4,,0,Group2
27.6,,0,Group2
27.8,,0,Group2
28.0,,0,Group2
28.2,,0,Group2
28.4,,0,Group2
28.6,,0,Group2
28.8,,0,Group2
29.0,,0,Group2
29.2,,0,Group2
29.4,,0,Group2
29.6,,0,Group2
29.8,,0,Group2
30.0,,0,Group2
10.0,0.71875,32,Group3
10.2,0.71875,32,Group3
10.4,0.71875,32,Group3
10.6,0.71875,32,Group3
10.8,0.71875,32,Group3
11.0,0.71875,32,Group3
11.2,0.71875,32,Group3
11.4,0.7096774193548387,31,Group3
11.6,0.7096774193548387,31,Group3
11.8,0.7096774193548387,31,Group3
12.0,0.7096774193548387,31,Group3
12.2,0.7096774193548387,31,Group3
12.4,0.7407407407407407,27,Group3
12.6,0.7692307692307693,26,Group3
12.8,0.7692307692307693,26,Group3
13.0,0.76,25,Group3
13.2,0.76,25,Group3
13.4,0.75,24,Group3
13.6,0.782608695652174,23,Group3
13.8,0.782608695652174,23,Group3
14.0,0.782608695652174,23,Group3
14.2,0.782608695652174,23,Group3
14.4,0.7727272727272727,22,Group3
14.6,0.7727272727272727,22,Group3
14.8,0.7727272727272727,22,Group3
15.0,0.7727272727272727,22,Group3
15.2,0.7727272727272727,22,Group3
15.4,0.7727272727272727,22,Group3
15.6,0.7619047619047619,21,Group3
15.8,0.7619047619047619,21,Group3
16.0,0.8,20,Group3
16.2,0.7894736842105263,19,Group3
16.4,0.7777777777777778,18,Group3
16.6,0.7647058823529411,17,Group3
16.8,0.7647058823529411,17,Group3
17.0,0.7647058823529411,17,Group3
17.2,0.75,16,Group3
17.4,0.75,16,Group3
17.6,0.75,16,Group3
17.8,0.75,16,Group3
18.0,0.75,16,Group3
18.2,0.75,16,Group3
18.4,0.75,16,Group3
18.6,0.75,16,Group3
18.8,0.75,16,Group3
19.0,0.7333333333333333,15,Group3
19.2,0.7142857142857143,14,Group3
19.4,0.7142857142857143,14,Group3
19.6,0.7692307692307693,13,Group3
19.8,0.7692307692307693,13,Group3
20.0,0.7692307692307693,13,Group3
20.2,0.75,12,Group3
20.4,0.75,12,Group3
20.6,0.75,12,Group3
20.8,0.75,12,Group3
21.0,0.75,12,Group3
21.2,0.7272727272727273,11,Group3
21.4,0.7272727272727273,11,Group3
21.6,0.8,10,Group3
21.8,0.8,10,Group3
22.0,0.8,10,Group3
22.2,0.8,10,Group3
22.4,0.8,10,Group3
22.6,0.8,10,Group3
22.8,0.8,10,Group3
23.0,0.7777777777777778,9,Group3
23.2,0.8571428571428571,7,Group3
23.4,0.8571428571428571,7,Group3
23.6,1.0,6,Group3
23.8,1.0,4,Group3
24.0,1.0,4,Group3
24.2,1.0,3,Group3
24.4,1.0,3,Group3
24.6,1.0,2,Group3
24.8,1.0,2,Group3
25.0,1.0,2,Group3
25.2,1.0,2,Group3
25.4,1.0,2,Group3
25.6,1.0,2,Group3
25.8,1.0,2,Group3
26.0,1.0,2,Group3
26.2,1.0,1,Group3
26.4,1.0,1,Group3
26.6,,0,Group3
26.8,,0,Group3
27.0,,0,Group3
27.2,,0,Group3
27.4,,0,Group3
27.6,,0,Group3
27.8,,0,Group3
28.0,,0,Group3
28.2,,0,Group3
28.4,,0,Group3
28.6,,0,Group3
28.8,,0,Group3
29.0,,0,Group3
29.2,,0,Group3
29.4,,0,Group3
29.6,,0,Group3
29.8,,0,Group3
30.0,,0,Group3
10.0,0.6666666666666666,12,Group4
10.2,0.6666666666666666,12,Group4
10.4,0.6666666666666666,12,Group4
10.6,0.6666666666666666,12,Group4
10.8,0.6666666666666666,12,Group4
11.0,0.6666666666666666,12,Group4
11.2,0.6666666666666666,12,Group4
11.4,0.6666666666666666,12,Group4
11.6,0.6666666666666666,12,Group4
11.8,0.6666666666666666,12,Group4
12.0,0.6666666666666666,12,Group4
12.2,0.6363636363636364,11,Group4
12.4,0.6363636363636364,11,Group4
12.6,0.6363636363636364,11,Group4
12.8,0.6363636363636364,11,Group4
13.0,0.6363636363636364,11,Group4
13.2,0.7,10,Group4
13.4,0.7,10,Group4
13.6,0.7,10,Group4
13.8,0.7,10,Group4
14.0,0.7,10,Group4
14.2,0.7,10,Group4
14.4,0.7,10,Group4
14.6,0.7,10,Group4
14.8,0.7,10,Group4
15.0,0.7,10,Group4
15.2,0.7,10,Group4
15.4,0.7777777777777778,9,Group4
15.6,0.7777777777777778,9,Group4
15.8,0.7777777777777778,9,Group4
16.0,0.75,8,Group4
16.2,0.75,8,Group4
16.4,0.75,8,Group4
16.6,0.75,8,Group4
16.8,0.75,8,Group4
17.0,0.75,8,Group4
17.2,0.75,8,Group4
17.4,0.75,8,Group4
17.6,0.75,8,Group4
17.8,0.75,8,Group4
18.0,0.75,8,Group4
18.2,0.75,8,Group4
18.4,0.75,8,Group4
18.6,0.75,8,Group4
18.8,0.75,8,Group4
19.0,0.75,8,Group4
19.2,0.75,8,Group4
19.4,0.75,8,Group4
19.6,0.7142857142857143,7,Group4
19.8,0.7142857142857143,7,Group4
20.0,0.8333333333333334,6,Group4
20.2,1.0,4,Group4
20.4,1.0,4,Group4
20.6,1.0,4,Group4
20.8,1.0,4,Group4
21.0,1.0,4,Group4
21.2,1.0,4,Group4
21.4,1.0,4,Group4
21.6,1.0,4,Group4
