week_threshold,prop_yes,n_samples,group
10.0,0.9133858267716536,127,Group1
10.2,0.9133858267716536,127,Group1
10.4,0.9133858267716536,127,Group1
10.6,0.9133858267716536,127,Group1
10.8,0.9133858267716536,127,Group1
11.0,0.9133858267716536,127,Group1
11.2,0.9105691056910569,123,Group1
11.4,0.9098360655737705,122,Group1
11.6,0.907563025210084,119,Group1
11.8,0.9067796610169492,118,Group1
12.0,0.9130434782608695,115,Group1
12.2,0.9099099099099099,111,Group1
12.4,0.9238095238095239,105,Group1
12.6,0.9191919191919192,99,Group1
12.8,0.9148936170212766,94,Group1
13.0,0.9111111111111111,90,Group1
13.2,0.9156626506024096,83,Group1
13.4,0.9240506329113924,79,Group1
13.6,0.92,75,Group1
13.8,0.9154929577464789,71,Group1
14.0,0.9142857142857143,70,Group1
14.2,0.9130434782608695,69,Group1
14.4,0.9130434782608695,69,Group1
14.6,0.9117647058823529,68,Group1
14.8,0.9090909090909091,66,Group1
15.0,0.9090909090909091,66,Group1
15.2,0.90625,64,Group1
15.4,0.90625,64,Group1
15.6,0.9032258064516129,62,Group1
15.8,0.8983050847457628,59,Group1
16.0,0.8928571428571429,56,Group1
16.2,0.8888888888888888,45,Group1
16.4,0.925,40,Group1
16.6,0.9444444444444444,36,Group1
16.8,0.9411764705882353,34,Group1
17.0,0.967741935483871,31,Group1
17.2,0.9655172413793104,29,Group1
17.4,0.9655172413793104,29,Group1
17.6,0.9642857142857143,28,Group1
17.8,0.9642857142857143,28,Group1
18.0,0.9642857142857143,28,Group1
18.2,0.9642857142857143,28,Group1
18.4,0.9642857142857143,28,Group1
18.6,0.9642857142857143,28,Group1
18.8,0.9642857142857143,28,Group1
19.0,0.9642857142857143,28,Group1
19.2,0.9642857142857143,28,Group1
19.4,1.0,27,Group1
19.6,1.0,25,Group1
19.8,1.0,23,Group1
20.0,1.0,22,Group1
20.2,1.0,18,Group1
20.4,1.0,17,Group1
20.6,1.0,14,Group1
20.8,1.0,13,Group1
21.0,1.0,13,Group1
21.2,1.0,13,Group1
21.4,1.0,12,Group1
21.6,1.0,12,Group1
21.8,1.0,12,Group1
22.0,1.0,12,Group1
22.2,1.0,12,Group1
22.4,1.0,12,Group1
22.6,1.0,12,Group1
22.8,1.0,12,Group1
23.0,1.0,12,Group1
23.2,1.0,11,Group1
23.4,1.0,10,Group1
23.6,1.0,9,Group1
23.8,1.0,9,Group1
24.0,1.0,8,Group1
24.2,1.0,4,Group1
24.4,1.0,4,Group1
24.6,1.0,4,Group1
24.8,1.0,4,Group1
25.0,1.0,4,Group1
25.2,1.0,4,Group1
25.4,1.0,1,Group1
25.6,1.0,1,Group1
25.8,1.0,1,Group1
26.0,1.0,1,Group1
26.2,,0,Group1
26.4,,0,Group1
26.6,,0,Group1
26.8,,0,Group1
27.0,,0,Group1
27.2,,0,Group1
27.4,,0,Group1
27.6,,0,Group1
27.8,,0,Group1
28.0,,0,Group1
28.2,,0,Group1
28.4,,0,Group1
28.6,,0,Group1
28.8,,0,Group1
29.0,,0,Group1
29.2,,0,Group1
29.4,,0,Group1
29.6,,0,Group1
29.8,,0,Group1
30.0,,0,Group1
10.0,0.8888888888888888,126,Group2
10.2,0.8888888888888888,126,Group2
10.4,0.8888888888888888,126,Group2
10.6,0.8888888888888888,126,Group2
10.8,0.8888888888888888,126,Group2
11.0,0.8888888888888888,126,Group2
11.2,0.8861788617886179,123,Group2
11.4,0.8861788617886179,123,Group2
11.6,0.8916666666666667,120,Group2
11.8,0.8991596638655462,119,Group2
12.0,0.8991596638655462,119,Group2
12.2,0.9009009009009009,111,Group2
12.4,0.8990825688073395,109,Group2
12.6,0.8942307692307693,104,Group2
12.8,0.900990099009901,101,Group2
13.0,0.9090909090909091,99,Group2
13.2,0.898876404494382,89,Group2
13.4,0.9069767441860465,86,Group2
13.6,0.9069767441860465,86,Group2
13.8,0.9036144578313253,83,Group2
14.0,0.9,80,Group2
14.2,0.8933333333333333,75,Group2
14.4,0.8904109589041096,73,Group2
14.6,0.8888888888888888,72,Group2
14.8,0.8888888888888888,72,Group2
15.0,0.9014084507042254,71,Group2
15.2,0.8970588235294118,68,Group2
15.4,0.8939393939393939,66,Group2
15.6,0.90625,64,Group2
15.8,0.9152542372881356,59,Group2
16.0,0.9107142857142857,56,Group2
16.2,0.9259259259259259,54,Group2
16.4,0.9230769230769231,52,Group2
16.6,0.9166666666666666,48,Group2
16.8,0.9347826086956522,46,Group2
17.0,0.9333333333333333,45,Group2
17.2,0.9318181818181818,44,Group2
17.4,0.9302325581395349,43,Group2
17.6,0.9302325581395349,43,Group2
17.8,0.9302325581395349,43,Group2
18.0,0.9285714285714286,42,Group2
18.2,0.9285714285714286,42,Group2
18.4,0.9285714285714286,42,Group2
18.6,0.926829268292683,41,Group2
18.8,0.925,40,Group2
19.0,0.925,40,Group2
19.2,0.9487179487179487,39,Group2
19.4,0.9487179487179487,39,Group2
19.6,0.9473684210526315,38,Group2
19.8,0.9473684210526315,38,Group2
20.0,0.967741935483871,31,Group2
20.2,0.9642857142857143,28,Group2
20.4,0.9615384615384616,26,Group2
20.6,1.0,23,Group2
20.8,1.0,22,Group2
21.0,1.0,22,Group2
21.2,1.0,20,Group2
21.4,1.0,19,Group2
21.6,1.0,17,Group2
