week_threshold,prop_yes,n_samples,group
10.0,0.8922155688622755,501,Group1
10.2,0.8922155688622755,501,Group1
10.4,0.8922155688622755,501,Group1
10.6,0.8922155688622755,501,Group1
10.8,0.8922155688622755,501,Group1
11.0,0.8922155688622755,501,Group1
11.2,0.8920570264765784,491,Group1
11.4,0.8918367346938776,490,Group1
11.6,0.8923395445134575,483,Group1
11.8,0.8935281837160751,479,Group1
12.0,0.8945147679324894,474,Group1
12.2,0.8964757709251101,454,Group1
12.4,0.8993135011441648,437,Group1
12.6,0.8990384615384616,416,Group1
12.8,0.8985148514851485,404,Group1
13.0,0.9010152284263959,394,Group1
13.2,0.8977900552486188,362,Group1
13.4,0.9,350,Group1
13.6,0.8964497041420119,338,Group1
13.8,0.8957055214723927,326,Group1
14.0,0.8924050632911392,316,Group1
14.2,0.8870431893687708,301,Group1
14.4,0.8851351351351351,296,Group1
14.6,0.8815331010452961,287,Group1
14.8,0.8798586572438163,283,Group1
15.0,0.8817204301075269,279,Group1
15.2,0.8777777777777778,270,Group1
15.4,0.875,264,Group1
15.6,0.875,248,Group1
15.8,0.8717948717948718,234,Group1
16.0,0.8678414096916299,227,Group1
16.2,0.8756218905472637,201,Group1
16.4,0.8770053475935828,187,Group1
16.6,0.8909090909090909,165,Group1
16.8,0.89171974522293,157,Group1
17.0,0.8954248366013072,153,Group1
17.2,0.9027777777777778,144,Group1
17.4,0.9020979020979021,143,Group1
17.6,0.8985507246376812,138,Group1
17.8,0.8970588235294118,136,Group1
18.0,0.8955223880597015,134,Group1
18.2,0.8947368421052632,133,Group1
18.4,0.9015151515151515,132,Group1
18.6,0.9007633587786259,131,Group1
18.8,0.9,130,Group1
19.0,0.8992248062015504,129,Group1
19.2,0.905511811023622,127,Group1
19.4,0.9112903225806451,124,Group1
19.6,0.9159663865546218,119,Group1
19.8,0.9137931034482759,116,Group1
20.0,0.9150943396226415,106,Group1
20.2,0.9325842696629213,89,Group1
20.4,0.926829268292683,82,Group1
20.6,0.9324324324324325,74,Group1
20.8,0.9305555555555556,72,Group1
21.0,0.9420289855072463,69,Group1
