threshold,fpr,tpr,specificity,youden_J,auc
inf,0.0,0.0,1.0,0.0,0.8321875
0.9728300503121391,0.0,0.02,1.0,0.02,0.8321875
0.6922001409265266,0.0,0.38,1.0,0.38,0.8321875
0.6830581689434929,0.015625,0.38,0.984375,0.364375,0.8321875
0.6744143131468282,0.015625,0.4,0.984375,0.384375,0.8321875
0.6743152642964934,0.03125,0.4,0.96875,0.36875,0.8321875
0.6696215502771211,0.03125,0.42,0.96875,0.38875,0.8321875
0.6609292669746422,0.046875,0.42,0.953125,0.373125,0.8321875
0.6142877595764752,0.046875,0.56,0.953125,0.513125,0.8321875
0.6001463780636773,0.0625,0.56,0.9375,0.49750000000000005,0.8321875
0.582458393910511,0.0625,0.6,0.9375,0.5375,0.8321875
0.5327884338690605,0.140625,0.6,0.859375,0.459375,0.8321875
0.5217401731331993,0.140625,0.62,0.859375,0.479375,0.8321875
0.5192003094486336,0.15625,0.62,0.84375,0.46375,0.8321875
0.5148731824581873,0.15625,0.64,0.84375,0.48375,0.8321875
0.5043482901501999,0.1875,0.64,0.8125,0.4525,0.8321875
0.4901758784258099,0.1875,0.66,0.8125,0.47250000000000003,0.8321875
0.484820967428553,0.21875,0.66,0.78125,0.44125000000000003,0.8321875
0.4695698807323537,0.21875,0.7,0.78125,0.48124999999999996,0.8321875
0.4407379383628979,0.25,0.7,0.75,0.44999999999999996,0.8321875
0.4192992079023082,0.25,0.72,0.75,0.47,0.8321875
0.3958822635503446,0.265625,0.72,0.734375,0.454375,0.8321875
0.37930077824084213,0.265625,0.76,0.734375,0.494375,0.8321875
0.3444520792313974,0.328125,0.76,0.671875,0.431875,0.8321875
0.33443793536479877,0.328125,0.78,0.671875,0.451875,0.8321875
0.3201071055365322,0.359375,0.78,0.640625,0.420625,0.8321875
0.31996808877060867,0.359375,0.8,0.640625,0.44062500000000004,0.8321875
0.3035181438754294,0.40625,0.8,0.59375,0.39375000000000004,0.8321875
0.30278852102013654,0.40625,0.82,0.59375,0.41374999999999995,0.8321875
0.3011063378534544,0.421875,0.82,0.578125,0.39812499999999995,0.8321875
0.28113717612225575,0.421875,0.86,0.578125,0.438125,0.8321875
0.2502626459141751,0.484375,0.86,0.515625,0.375625,0.8321875
0.2477029188354426,0.484375,0.88,0.515625,0.395625,0.8321875
0.2390750029628835,0.5,0.88,0.5,0.38,0.8321875
0.23751582814856798,0.5,0.9,0.5,0.4,0.8321875
0.20311891592809644,0.59375,0.9,0.40625,0.30625,0.8321875
0.19714505590549203,0.59375,0.92,0.40625,0.32625000000000004,0.8321875
0.1922010972721597,0.609375,0.92,0.390625,0.31062500000000004,0.8321875
0.18943826596212496,0.609375,0.96,0.390625,0.35062499999999996,0.8321875
0.17753783337918425,0.640625,0.96,0.359375,0.31937499999999996,0.8321875
0.1764592971285245,0.640625,0.98,0.359375,0.339375,0.8321875
0.120061439306578,0.8125,0.98,0.1875,0.16749999999999998,0.8321875
0.11958609386479041,0.8125,1.0,0.1875,0.1875,0.8321875
0.008679451751396344,1.0,1.0,0.0,0.0,0.8321875
